,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
77,0.478,0.894,2,-3.744,1,0.149,0.00627,1.16e-05,0.155,0.506,166.016,1Cit71poDuP2mxqH35oW9W
78,0.605,0.958,7,-1.114,1,0.117,0.0417,0.0,0.649,0.808,139.985,45taTTB4hvmb6AnRla8aoF
79,0.746,0.427,6,-6.994,1,0.0435,0.812,0.0,0.143,0.464,85.021,0l9LpCsYufB1e5PJSvOXbU
80,0.721,0.489,5,-7.323,1,0.055,0.672,1.07e-05,0.0892,0.574,93.04,6HG6B14eXGGvral4v8JTfG
81,0.457,0.268,8,-13.845,1,0.205,0.947,0.000443,0.11,0.546,171.72,38uLSU8bZ4g1vrBl1KHHpg
82,0.482,0.47,11,-6.365,1,0.0314,0.665,0.0,0.191,0.32,109.286,2bU2EvhMM4Z1M1CLJlnZH1
83,0.415,0.622,9,-4.454,1,0.0364,0.6,0.000112,0.112,0.295,133.881,3WGd1zqLLAWUqPCEVTskT3
84,0.68,0.451,7,-8.76,1,0.0329,0.794,0.0,0.0971,0.371,87.042,3DO8WRX72c1Z5hduVL1Nd5
85,0.708,0.68,9,-8.203,1,0.0519,0.0625,0.0,0.152,0.7,133.947,0GPJSHYaXh8rZSSJoUMgyl
86,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982,18uwL0vNUanqZH0ro2QcOP
87,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,75ls0gurX68lUmMjE7QcsE
88,0.732,0.221,6,-12.623,1,0.056,0.897,2.62e-05,0.11,0.677,105.165,0rbKrBvZUYY9GN9l057BuY
89,0.646,0.456,0,-7.27,1,0.0327,0.176,0.0,0.36,0.45,154.014,4SjXHwsZevaRo1M2EQgHf6
90,0.651,0.758,0,-6.584,0,0.0578,0.0272,0.0,0.292,0.839,104.956,1JJUsWVriEtXr8lHSQXTIy
91,0.456,0.171,4,-12.354,1,0.0525,0.91,0.0,0.0951,0.119,97.487,7kZnkHvbHwWWmXMR0vtbVh
92,0.578,0.537,9,-8.676,1,0.0832,0.162,0.0,0.076,0.25,83.909,3afkJSKX0EAMsJXTZnDXXJ
93,0.708,0.485,2,-5.552,1,0.0699,0.21,0.0,0.104,0.281,139.99,3K8tRD2Prik7FXbD8lZ6DC
94,0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71e-06,0.13,0.462,106.994,16LATbHXLu0gh8MCw1hUGl
